First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration(s)_appointee,Party_affiliation,Employer,FTC_seat,Education,Previous_position,Type_of_prev_position,Following_position,Type_of_following_position,Source,Source2,Source3,Notes
Elizabeth,Hanford,Dole,,Commissioner,,1973,1979,,Independent,FTC,1,JD,Head of White House Office of Consumer Affairs under Nixon; previously: worked for LBJ's President’s Committee for Consumer Interests and HHS dept,Government,"Assistant for public liaison for Reagan, Secretary of Transportation, Secretary of Labor, NC senator",Government,UVA website,House bios,,Appointed prior to marriage to Sen Bob Dole
Stephen,A. ,Nye,,Commissioner,,1974,1976,,R,FTC,5,JD,"Law firm partner and antitrust litigator (Sullivan, Jones and Archer); previously: general counsel of Competitive Capital Fund, law firm (Pillsbury)",Law firm,"Law firm (Howrey and Simon), died",Law firm,WaPo obit,,,
Donald,I.,Baker,,AAG antitrust,,1976,1977,Ford,NA,DOJ,NA,Law,"Professor (Cornell Law); previously: deputy AAG of antitrust, staff lawyer in antitrust at DOJ",Academia,Law firm,Law firm,NYT,American Antitrust Institute (see full remarks),,
David,A. ,Clanton,,Acting chair/commissioner,,1976,1983,,R,FTC,4,JD,"Legislative assistant to the assistant Senate minority leader; previously: minority staff council for Senate Commerce, legislative assistant to Sen Griffin",Government,Law firm (Baker McKenzie),Law firm,Wiki,Super Lawyers profile,NYT2,"NYT2: ""In fact, a study of the commission by Mr. Reagan's transition team had recommended that neither Mr. Clanton nor Patricia Bailey, the commission's other Republican, be appointed chairman because neither shared ''the President's basic philosophy.''""; also quite young"
Calvin,J.,Collier,,Commissioner,,1976,1977,,R,FTC,3,LLB,"FTC's general counsel; previously: associate director of OMB with purview over FTC under Ford, director of urban program coordination for Dept of HUD, law clerk for DC court of appeals",Government,"Law firm (Kirkland, Ellis, Hodson, Chaffetz & Masters, Hughes Hubbard), various positions at Kraft Inc. (Senior VP, General Counsel, Secretary)",Law firm,Wiki,NYT,Prabook,"NYT: ""A young lawyer of some note among Government officials but anonymous by national standards"", ""youngest person ever"""
John,H. ,Shenefield,,AAG antitrust,,1977,1979,Carter,NA,DOJ,NA,LLB,"Deputy Assistant Attorney General of antitrust (?); previously: law firm (Hunton and Williams), professor of economics",Government,"Law firm (Morgan, Lewis & Bockius)",Law firm,Wiki,NYT,,
Michael,,Pertschuk,,Chair/commissioner,,1977,1984,,D,FTC,5,JD,"Chief counsel/staff director of Senate Commerce; previously: legislative assistant for OR Senator, law firm (Hart, Rockwood, Davies, Biggs & Strayer), law clerk for district court judge",Government,"scholar in-residence at Wilson Center, founder/co-director of Advocacy Institute",Academia,Wiki,NYT,NYT1,"Controversial figure, fought with Congress about role of FTC, quoted in NYT: ""The current FTC leadership [Chairman Miller] has been consumed with single-minded determination to undo the past... the very foundation of antitrust""; NYT1 notes lack of staff available "
Robert,,Pitofsky,,Commissioner,,1978,1981,,D,FTC,3,LLB,"Law firm (Dewey Ballantine?); previously: director of Bureau of Consumer Protection, lecturer (NYU Law), law firm (Dewey, Ballantine, Bushby, Palmer & Wood), civil appellate division of DOJ",Law firm,"Professor/dean (Georgetown), law firm (Arnold & Porter), visiting lecturer at Columbia",Academia,NYT obit,Wiki,FTCWatch,
Sanford,,Litvack,,AAG antitrust,,1979,1981,Carter,NA,DOJ,NA,LLB,Law firm; previously: participated in AG honors program at DOJ,Law firm,"Law firms, Disney general counsel",Law firm,Law.com,,,
Patricia,P.,Bailey,,Commissioner,,1979,1988,,R,FTC,1,"JD, MA","Executive legal assistant to the General Counsel at the Merit Systems Protection Board; previously: special assistant to AAG for Improvements in the Administration of Justice at DOJ, Rockefeller campaign staff, staff assistant in House for Rep Morse, worked several positions at USAID",Government,"Law firm (Squire, Sanders and Dempsey)",Law firm,APP,CSPAN,,Wife of political advisor to influential Senator
William,,Baxter,,AAG antitrust,,1981,1983,Reagan,NA,DOJ,NA,LLB,Professor (Stanford Law); Citibank consultant,Academia,Professor (Stanford Law),Academia,NYT,,,
James,C.,Miller,III,Chair,,1981,1985,,R,FTC,2,"BBA, PhD (economics)","executive director of VP GHWB's Presidential Task Force on Regulatory Relief; previously: administrator of the Office of Information and Regulatory Affairs, scholar/co-director of AEI's center on government regulation, assistant professor",Government,"Budget Director for Reagan, law firms (Howrey, Husch Blackwell), member of Board of Governors of the U.S. Postal Service, private equity, scholar",Government,Personal website,NYT,Wiki,"NYT: ""But his thoughts of leaving predate all that. Mr. Miller is not a rich man, and he needs a higher salary to help him pay the tuitions of three children."""
George,W.,Douglas,,Commissioner,,1982,1985,,D,FTC,3,PhD (economist),"President of Southwest Econometrics; previously: Brookings fellowship at Dept of Transportation, professor (UNC)",Industry,Economics business (assuming continuation of Southwest Econometrics),Industry,NYT,obit in local paper,,Also younger
J.,Paul,McGrath,,AAG antitrust,,1983,1985,Reagan,NA,DOJ,NA,LLB,"AAG of Civil Division; previously: law firm partner (Dewey, Ballantine, Bushby & Wood)",Government,"General counsel at various corporations (AlliedSignal Engineered Materials, FMC Corporation, etc)",Industry,NYT,NJ Star-Ledger obit,,
Terry,,Calvani,,Acting chair/commissioner,,1983,1990,,R,FTC,4,JD,Professor (Vanderbilt Law); previously: law firm (Pillsbury),Academia,"Law firms (Pillsbury, Freshfields Bruckhaus Deringer), on Ireland's FTC equivalent",Law firm,Wiki,,,
Mary,L.,Azcuenaga,,Commissioner,,1984,1998,,Independent,FTC,5,Law,Assistant General Counsel for Legal Counsel at FTC; previously: staff lawyer for FTC (various positions),Government,"Law firm (Heller Ehrman, Baker & McKenzie), independent consultant for regulatory reform",Law firm,FTC bio,LinkedIn,,
Douglas,H. ,Ginsburg,,AAG antitrust,,1985,1986,Reagan,NA,DOJ,NA,"JD, BS","Principal Deputy AAG of antitrust; previously: Administrator of Office of Info and Regulatory Affairs, OMB in Reagan administration, professor at Harvard Law",Government,"Federal judge (DC Court of Appeals), adjunct at George Mason law, nominated for SCOTUS",Government,link,,,
Charles,,Rule,,AAG antitrust,,1986,1989,Reagan,NA,DOJ,NA,JD,Principal Deputy Assistant Attorney General of antitrust; previously: federal clerk,Government,"Law firms (Covington Burling, Fried Frank, Cadwalader, Paul Weiss)",Law firm,Paul Weiss,ABA Journal,,"""antitrust rainmaker"""
Andrew,J.,Strenio,Jr.,Commissioner,,1986,1991,,D,FTC,3,"JD, MPP","member of the Interstate Commerce Commission; previously: assistant director for regulatory evaluation at FTC, staff economist/lawyer for President's Council of Economic Advisers",Government,"Law firm (Fox, Bennett & Turner)",Law firm,NYT1,NYT2,Bloomberg bio,Also very young
Daniel,,Oliver,,Chair,,1986,1989,,R,FTC,2,LLB,"Reagan admin General Counsel of the Department of Agriculture; previously: General Counsel at the Department of Education, director of American Conservative Union, law firm (Hawkins, Delafield & Wood, Alexander & Green)",Government,"Fellow at Heritage Foundation, other think-tanks, chairman of private company",Academia,Wiki,Independent Institute,Prabook,
Margot,R.,Machol,,Commissioner,,1988,1989,,R,FTC,1,MBA,"Special assistant to the Chairman for the Council of Economic Advisers in Washington; previously: Executive Assistant to the Under Secretary for Monetary Affairs at the Department of the Treasury, chief legislative assistant for Rep Marks",Government,"Commissioner of the National Commission on Employment Policy, chief of staff of the Millenium Challenge Corporation, staff director of the National H.E.L.P. Commission, author of books/articles on entrepreneurship",Government,APP,Wiki,,
James,F.,Rill,,AAG antitrust,,1989,1992,GHWB,NA,DOJ,NA,JD,"Senior partner of law firm (Collier, Shannon Rill & Scott); chair of ABA section on antitrust",Law firm,"Law firms (Collier Shannon Rill & Scott, Howery, Baker Botts), appointed by AG Reno to co-chair International Competition Policy Advisory Committee in 1997",Law firm,Justice,interview,Baker Botts profile,IPAC report
Janet,D.,Steiger,,Chair/commissioner,,1989,1997,GHWB,R,FTC,2,BA,"Chairman of the Postal Rate Commission; previously: private company, research associate at the National Academy of Public Administration",Government,Unclear,Unclear,WaPo,Wiki,,Wife of Congressman
Deborah,K.,Owen,,Commissioner,,1989,1994,,R,FTC,1,JD,"Law firm managing partner (McNair); previously: Associate Counsel to President Reagan, General Counsel for Senate Judiciary Committee head Sen Thurmond, minority council for House Judiciary, law firm (Piper and Maubury)",Law firm,Unclear,Unclear,GWB Presidential papers,,,
Roscoe,B.,Starek,III,Commissioner,,1990,1997,,R,FTC,4,JD,"Deputy Assistant to President GHWB and Deputy Director of Presidential Personnel; previously: several positions at State Dept, House committees, Ford White House",Government,Unclear,Unclear,FTC bio,,,
Dennis,A,Yao,,Commissioner,,1991,1994,,D,FTC,3,"PhD, MBA, BSE",Professor (UPenn Business); previously: analyst at Ford motor company,,"Professor (UPenn Business), professor (Harvard Business)",Academia,"See ""Documents"" folder",,,
J.,Mark,Gidley,,AAG antitrust,,1992,1993,acting,NA,DOJ,NA,"JD, BS",Deputy Assistant Attorney General for Regulated Industries in the Antitrust Division; previously: Associate Deputy Attorney General under Deputy AG Barr,Government,"Law firm (Shaw Pittman, then White & Case)",Law firm,LinkedIn,Bio,,"""Mark Gidley has an excellent reputation for cartel defense matters."""
Charles,,James,,AAG antitrust,,1992,1992,acting,NA,DOJ,NA,JD,"Deputy AAG of antitrust; previously: law firm (Jones Day), Assistant to Director of FTC's Bureau of Competition",Government,Law firm (Jones Day),Law firm,Wiki,Justice,,
Anne,,Bingaman,,AAG antitrust,,1993,1996,Clinton,NA,DOJ,NA,JD,Private lawyer; previously: professor (U of New Mexico Law),Private practice,"Lawyer at telecom company (unknown), founder/CEO of telecom company",Industry,NYT,Stanford Law,,Lots of media rhetoric about AAG reversing Reagan trends (https://www.nytimes.com/1993/07/25/business/profile-anne-k-bingaman-rousing-antitrust-law-from-its-12-year-nap.html); would be interesting to see if it made a difference; Senator's wife
Christine,A. ,Varney,,Commissioner,,1994,1997,,D,FTC,3,"JD, MPA","Assistant to President Clinton and Secretary of the Cabinet; previously: law firm (Hogan & Hartson), general counsel for Dem National Committee, various Clinton 1992 campaign positions",Government,"Law firm (Hogan & Hartson), AAG of DOJ antitrust, law firm partner (Cravath)",Law firm,Wiki,ACS bio,Cravath bio,
Robert,,Pitofsky,,Chair,,1995,2001,,D,FTC,1,LLB,"Professor (Georgetown); previously: dean/professor (Georgetown Law), law firm (Arnold & Porter), FTC commissioner, director of Bureau of Consumer Protection, lecturer (NYU Law), law firm (Dewey, Ballantine, Bushby, Palmer & Wood), civil appellate division of DOJ",Academia,"Law firm (Arnold & Porter), visiting lecturer at Columbia",Law firm,NYT obit,Wiki,FTCWatch,
Joel,,Klein,,AAG antitrust,,1996,2000,Clinton,NA,DOJ,NA,JD,Principal Deputy AAG of antitrust; previously: WH Counsel's office under President Clinton ,Government,"Lawyer for international media group (Bertelsmann), NYC School Chancellor",Industry,link,,,
Sheila,F. ,Anthony,,Commissioner,,1997,2003,,D,FTC,2,Law,"AAG of legislative affairs at DOJ; previously: law firm (Dow, Lohnes & Albertson)",Government,Unclear,Unclear,FTC bio,,,Wife of Congressman
Mozelle,W.,Thompson,,Commissioner,,1997,2004,,D,FTC,3,"JD, MPP","Principal Deputy Assistant Secretary at Treasury Dept; previously: various positions in NY state government's AG office, law firm (Skadden, Arps, Slate, Meagher & Flom), law clerk for federal judge",Government,Founder/CEO of Thompson Strategic Consulting (clients are big tech and entertainment companies),Industry,Wiki,ABA interview,,
Orson,,Swindle,,Commissioner,,1997,2005,,R,FTC,4,MBA,Twice unsuccessful candidate for House (HI); previously: Assistant Secretary of Commerce under Reagan,Government,Law firm (Hunton & Williams),Law firm,Wiki,Open Secrets,,
Thomas,B.,Leary,,Commissioner,,1999,2005,,R,FTC,5,"JD, BA (economics)","Law firm (Hogan & Hartson); previously: Assistant General Counsel of General Motors, law firm (White & Case)",Law firm,Law firm (Hogan Lovells),Law firm,FTC bio,Open Secrets,ABA bio,
Douglas,,Melamed,,AAG antitrust,,2000,2001,acting,NA,DOJ,NA,JD,"Principal Deputy AAG of antitrust; previously: partner at law firm (Wilmer, Cutler and Pickering)",Government,"Law firm (chair of antitrust group at WilmerHale), senior VP and General Counsel of Intel, professor at Stanford Law",Law firm,link,link2,,
Charles,,James,,AAG antitrust,,2001,2003,GWB,NA,DOJ,NA,JD,"Law firm (Jones Day, chaired antitrust division); previously: Acting AAG of antitrust, Deputy AAG of antitrust, Assistant to Director of FTC's Bureau of Competition",Law firm,"VP and General Counsel of Chevron-Texaco, adjunct prof ASU Law",Industry,Wiki,Justice,,
Timothy,J.,Muris,,Chair,,2001,2004,,R,FTC,1,"JD, BA (economics)","Professor (George Mason Law); previously: Executive Associate Director of OMB, various law firms (Collier, Shannon, Rill & Scot/Howrey), director at various FTC bureaus, deputy counsel on VP Taskforce on regulatory relief, professor (University of Miami Law)",Academia,"Professor (George Mason law) specializing in antitrust, also law firms (O’Melveny & Myers/Kirkland & Ellis/Sidley Austin)",Academia,"See ""Documents"" folder",,,
R.,Hewitt,Pate,,AAG antitrust,,2003,2005,GWB,NA,DOJ,NA,JD,"Deputy AAG of regulatory affairs; previously: unclear related to international antitrust, SCOTUS law clerk for Powell and Kennedy",Government,"Law firm (Hunton & Williams, heads global competition practice), General counsel of Chevron",Law firm,Justice,Chevron,,
Pamela,Jones,Harbour,,Commissioner,,2003,2010,,Independent,FTC,2,JD,"Law firm antitrust partner (Kaye Scholer); previously: assistant First Deputy NY AG, Deputy NY AG of public advocacy division, staff lawyer in NY AG office",Law firm,"Law firm (Fulbright & Jaworski, Baker Hostetler), legal officer/VP of Herbalife",Law firm,Wiki,LinkedIn,,
Deborah,Platt,Majoras,,Chair,,2004,2008,,R,FTC,1,JD,"Law firm partner (Jones Day); previously: Deputy AAG of DOJ antitrust, law firm (Jones Day), law clerk for federal district court",Law firm,"Senior VP/general counsel at Procter & Gamble, chief legal officer/secretary of P&G",Industry,Wiki,Bloomberg,,
Jon,,Leibowitz,,Chair/commissioner,,2004,2013,,D,FTC,3,JD,"VP of Congressional affairs for Motion Pictures Association of America; previously: chief counsel/staff director of Senate antitrust/terrorism and technology/juvenile justice subcommittees, chief counsel to Sen Kohl, counsel to Sen Simon, private practice (unknown)",Industry,Law firm partner/counsel (Davis Pollack & Wardwell),Law firm,Wiki,LinkedIn,,Wikipedia: successfully advocated for repeal of Obama-era regulations for current clients
Thomas,O.,Barnett,,AAG antitrust,,2005,2008,GWB,NA,DOJ,NA,"JD, MS in Economics","Deputy  AAG of civil enforcement; previously: partner at law firm (Covington & Burling, vice chair of antitrust group), only public service prior is federal clerk",Government,Law firm (co-chair of antitrust group at Covington),Law firm,Justice,Covington,,
William,E.,Kovacic,,Chair/commissioner,,2006,2011,,R,FTC,4,JD,"Professor (George Mason and GW Law); previously: FTC general counsel, law firm associate (Bryan Cave), FTC staff attorney (bureau of Competition), law clerk for district court judge",Academia,Professor (GW law),Academia,Wiki,"See ""Documents"" folder",San Jose Mercury News,
J.,Thomas,Rosch,,Commissioner,,2006,2013,,R,FTC,5,LLB,"Law firm partner in antitrust group (Latham & Watkins); previously: director of FTC bureau of competition, law firm (McCutchen, Doyle, Brown & Enersen)",Law firm,Law firm (Latham Watkins),Law firm,Wiki,"See ""Documents"" folder",Law firm bio,
Deborah,A. ,Garza,,AAG antitrust,,2008,2009,acting,NA,DOJ,NA,JD,Deputy Assistant Attorney General for regulatory affairs; previously law firm partner (Fried Frank Harris Shriver & Jacobson),Government,Law firm (Covington & Burling),Law firm,Bloomberg,LinkedIn,,
Christine,A.,Varney,,AAG antitrust,,2009,2011,Obama,NA,DOJ,NA,"JD, MPA","Law firm (Hogan & Hartson); previously: FTC Commissioner under Clinton, then partner at Hogan and Hartson (Internet practice group), registered lobbyist",Law firm,"Partner at law firm (Cravath Swaine and Moore) advising on mergers, joined Columbia Law faculty",Law firm,Wiki,,,
Julie,,Brill,,Commissioner,,2010,2016,,D,FTC,2,"JD, BA (economics)","Senior Deputy AG of antitrust in North Carolina; previously: Vermont AAG for antitrust, law firm (Paul Weiss), clerked for federal court",Government,"Partner at law firm (Hogan Lovells), VP/general counsel at Microsoft",Law firm,Wiki,LinkedIn,FTC bio,
Edith,,Ramirez,,Chair/commissioner,,2010,2017,,D,FTC,1,JD,Law firm (Quinn Emanuel Urquhart & Sullivan/Gibson Dunn & Crutcher); previously: federal court clerk,Law firm,Law firm (Hogan Lovells),Law firm,Wiki,Bloomberg,,
Sharis,,Pozen,,AAG antitrust,,2011,2012,acting,NA,DOJ,NA,JD,"Chief of Staff at DOJ; previously: law firm partner (Hogan & Hartson), staff attorney at FTC (10+ years)",Government,"Law firm partner, competition and antitrust counsel at GE",Law firm,Bloomberg,,,
William,,,,AAG antitrust,Yes,2012,2016,Obama,NA,DOJ,NA,JD,Law firm (Arnold & Porter); previously: worked for the FTC,Law firm,Law firm (Arnold & Porter),Law firm,link,,,
Renata,,Hesse,,AAG antitrust,No,2012,2013,acting,NA,DOJ,NA,JD,Law firm (Wilson Sonsini Goodrich & Rosati) ,Law firm,NA,NA,link,,,
Joseph,F.,Wayland,,AAG antitrust,,2012,2012,acting,NA,DOJ,NA,JD,Senior counsel at FTC; previously: law firm (Wilson Sonsini Goodrich & Rosati) and DOJ staff attorney,Government,"Deputy Assistant Attorney General (unclear division), law firm partner (Sullivan & Cromwell)",Government,Bloomberg,,,
Maureen,K.,Ohlhausen,,Commissioner/Acting chair,,2012,2018,,R,FTC,4,JD,"Law firm partner (Wilkinson Barker Knauer); previously: various positions at FTC (from legal staff to director of office of policy planning), technology policy counsel at Business Software Alliance, , adjunct faculty at George Mason Law, federal court law clerk for US court of appeals and federal claims court",Law firm,Partner and co-chair of antitrust practice at law firm (Baker Botts),Law firm,Wiki,"Nomination document can be found in the ""Documents"" folder",,Nominated by Trump to federal judiciary but decided to go back to law firm
Joshua,D.,Wright,,Commissioner,,2013,2015,,R,FTC,5,"JD, PhD/BA (economics)","Professor (George Mason Law); previously: scholar-in-residence at FTC, clerked for federal judge",Academia,Professor (George Mason law) specializing in antitrust,Academia,Wiki,FTC bio,,
Terrell,,McSweeny,,Commissioner,,2014,2018,,R,FTC,3,JD,"Chief counsel for section of DOJ antitrust; previously: Deputy Assistant to President Obama, VP Biden Domestic Policy Advisor, Biden Senate staff, counsel for Senate Judiciary committee, law firm (O'Melveny & Myers)",Government,Partner at law firm (Covington & Burling),Law firm,Wiki,LinkedIn,,
Makan,,Delrahim,,AAG antitrust,Yes,2017,2021,Trump,NA,DOJ,NA,"JD,  MS in biotech","Law firm ( Brownstein Hyatt Farber Schreck) with Apple and Google as clients; previously: in and out of government earlier in his career (NIH, Senate Judiciary Committee, DOJ under Bush)",Law firm,Adjunct lecturer at Penn,Academia,link,,,
Rebecca,,Slaughter,,Acting chair,Yes,2018,NA,Trump,D,FTC,1,JD,Chief Counsel for Sen. Schumer; previously: law firm experience (Sidley Austin LLP),Government,NA,NA,FTC bios,,,
Rohit,,Chopra,,Commissioner,Yes,2018,NA,Trump,D,FTC,5,MBA,"Special Adviser to the Secretary of Education; previously: mostly government (CFPB, Dept. of Education) as well as McKinsey",Government,NA,NA,FTC bios,,,
Noah,Joshua,Phillips,,Commissioner,Yes,2018,NA,Trump,R,FTC,2,JD,"Chief Counsel for Sen. Cornyn; previously: advised Judiciary committee, law firms (unclear)",Government,NA,NA,link,,,
Joseph,J.,Simons,,Chair,,2018,2021,,R,FTC,3,JD,"Law firm (Paul Weiss); previously: director of FTC bureau of competition, board member/VP at Madison Oil company, law firms (Wachtell, Lipton, Rosen & Katz/ Collier, Shannon, Rill & Scott/Clifford Chance), assistant to several FTC bureau directors, law firms' associates (Wald, Harkrader & Ross/Skkaden)",Law firm,Law firm (Paul Weiss),Law firm,Nomination document,LinkedIn,,
Christine,S.,Wilson,,Commissioner,,2018,NA,,R,FTC,4,JD,"Senior VP at Delta (legal regulatory); previously: law firms (Kirkland & Ellis/ O'Melveny & Myers/ Howrey), chief of staff/consultant of FTC Commissioner Muris, law firms (Howrey/Shannon Rill and Scott), law clerk at FTC",Industry,NA,NA,Nomination document,,,