usCite,term,chief,caseName,majOpinWriter,majVotes,minVotes,vote_HHBurton,vote_RHJackson,vote_WODouglas,vote_FFrankfurter,vote_SFReed,vote_HLBlack,vote_WBRutledge,vote_FMurphy,vote_FMVinson,vote_TCClark,vote_SMinton,vote_EWarren,vote_JHarlan2,vote_WJBrennan,vote_CEWhittaker,vote_PStewart,vote_BRWhite,vote_AJGoldberg,vote_AFortas,vote_TMarshall,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan,vote_NMGorsuch,vote_BMKavanaugh,vote_ACBarrett,dateDecision,Filed Date,Year,BG_include,Westlaw_search,Include?,decisionFavored_BG,sgFavoredOrRep,party1,party2,partyDecisionFavored,partySGFavored,lawEconCitation,Notes
433 U.S. 623,1976,Burger,VENDO CO. v. LEKTRO-VEND CORP. et al.,102,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,2,4,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977/06/29 00:00:00,1977,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
434 U.S. 308,1977,Burger,PFIZER INC. et al. v. GOVERNMENT OF INDIA et al.,94,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/01/11 00:00:00,1978,Yes,Yes,Yes,P,P,Company,Government,p1,p1,No,foreign governments
435 U.S. 40,1977,Burger,FEDERAL MARITIME COMMISSION et al. v. PACIFIC MARITIME ASSN. et al.,95,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,2,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/03/01 00:00:00,1978,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
435 U.S. 389,1977,Burger,"CITY OF LAFAYETTE, LOUISIANA, et al. v. LOUISIANA POWER & LIGHT CO.",92,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,3,3,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/03/29 00:00:00,1978,Yes,Yes,Yes,P,P,City government,Company,p1,p1,Yes,NA
435 U.S. 679,1977,Burger,NATIONAL SOCIETY OF PROFESSIONAL ENGINEERS v. UNITED STATES,103,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,4,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/04/25 00:00:00,1978,Yes,Yes,Yes,P,"NA",Professional association,Government,p2,p2,Yes,NA
436 U.S. 631,1977,Burger,MOBIL ALASKA PIPELINE CO. v. UNITED STATES et al.,92,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/06/06 00:00:00,1978,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
436 U.S. 775,1977,Burger,FEDERAL COMMUNICATIONS COMMISSION v. NATIONAL CITIZENS COMMITTEE FOR BROADCASTING et al.,98,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/06/12 00:00:00,1978,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
436 U.S. 816,1977,Burger,NATIONAL BROILER MARKETING ASSN. v. UNITED STATES,100,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/06/12 00:00:00,1978,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
437 U.S. 117,1977,Burger,EXXON CORP. et al. v. GOVERNOR OF MARYLAND et al.,103,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/06/14 00:00:00,1978,Yes,Yes,Yes,D,None,Company,State government,p2,None,No,NA
437 U.S. 298,1977,Burger,UNITED STATES et al. v. LASALLE NATIONAL BANK et al.,100,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/06/19 00:00:00,1978,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
437 U.S. 322,1977,Burger,"GREYHOUND CORP. et al. v. MT. HOOD STAGES, INC., DBA PACIFIC TRAILWAYS",100,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/06/19 00:00:00,1978,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
438 U.S. 422,1977,Burger,UNITED STATES v. UNITED STATES GYPSUM CO. et al.,99,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/06/29 00:00:00,1978,Yes,Yes,Yes,D,"NA",Federal government,Company,p2,p1,Yes,NA
438 U.S. 531,1977,Burger,ST. PAUL FIRE & MARINE INSURANCE CO. et al. v. BARRY et al.,101,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/06/29 00:00:00,1978,Yes,Yes,Yes,P,P,Company,Individual,p2,p2,Yes,NA
439 U.S. 96,1978,Burger,NEW MOTOR VEHICLE BOARD OF CALIFORNIA et al. v. ORRIN W. FOX CO. et al.,92,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,3,1,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978/12/05 00:00:00,1978,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
439 U.S. 438,1978,Burger,LEIS et al. v. FLYNT et al.,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,7,NA,NA,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979/01/15 00:00:00,1979,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
440 U.S. 1,1978,Burger,FRIEDMAN et al. v. ROGERS et al.,101,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979/02/21 00:00:00,1979,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
440 U.S. 69,1978,Burger,"GREAT ATLANTIC & PACIFIC TEA CO., INC. v. FEDERAL TRADE COMMISSION",94,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979/02/22 00:00:00,1979,Yes,Yes,Yes,D,"NA",Company,Government,p2,p2,No,NA
440 U.S. 205,1978,Burger,"GROUP LIFE & HEALTH INSURANCE CO., AKA BLUE SHIELD OF TEXAS, et al. v. ROYAL DRUG CO., INC., DBA ROYAL PHARMACY OF CASTLE HILLS, et al.",94,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979/02/27 00:00:00,1979,Yes,Yes,Yes,P,P,Bigger company,Smaller company,p2,p2,No,NA
441 U.S. 1,1978,Burger,"BROADCAST MUSIC, INC., et al. v. COLUMBIA BROADCASTING SYSTEM, INC., et al.",95,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979/04/17 00:00:00,1979,Yes,Yes,Yes,D,D,Company,Company,p1,p1,No,NA
441 U.S. 211,1978,Burger,DOUGLAS OIL COMPANY OF CALIFORNIA et al. v. PETROL STOPS NORTHWEST et al.,101,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979/04/18 00:00:00,1979,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
442 U.S. 330,1978,Burger,REITER v. SONOTONE CORP. et al.,99,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979/06/11 00:00:00,1979,Yes,Yes,Yes,P,P,Individual,Company,p1,p1,Yes,NA
442 U.S. 510,1978,Burger,SANDSTROM v. MONTANA,92,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,3,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979/06/18 00:00:00,1979,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
444 U.S. 232,1979,Burger,"MCLAIN et al. v. REAL ESTATE BOARD OF NEW ORLEANS, INC., et al.",99,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980/01/08 00:00:00,1980,Yes,Yes,Yes,P,P,Individuals,Professional associations,p1,p1,No,NA
444 U.S. 394,1979,Burger,UNITED STATES v. BAILEY et al.,102,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980/01/21 00:00:00,1980,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
445 U.S. 97,1979,Burger,"CALIFORNIA RETAIL LIQUOR DEALERS ASSN. v. MIDCAL ALUMINUM, INC., et al.",101,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980/03/03 00:00:00,1980,Yes,Yes,Yes,P,P,State-sanctioned professional organization,Company,p2,p2,No,NA
445 U.S. 684,1979,Burger,WHALEN v. UNITED STATES,94,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,NA,NA,1,2,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980/04/16 00:00:00,1980,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
446 U.S. 643,1979,Burger,"CATALANO, INC., et al. v. TARGET SALES, INC., et al.",NA,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980/05/27 00:00:00,1980,Yes,Yes,Yes,P,None,Company,Company,p1,None,Yes,NA
447 U.S. 557,1979,Burger,CENTRAL HUDSON GAS & ELECTRIC CORP. v. PUBLIC SERVICE COMMISSION OF NEW YORK,101,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,NA,NA,1,1,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980/06/20 00:00:00,1980,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
448 U.S. 555,1979,Burger,"RICHMOND NEWSPAPERS, INC., et al. v. VIRGINIA et al.",99,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,3,NA,NA,4,5,4,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980/07/02 00:00:00,1980,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
449 U.S. 33,1980,Burger,"ALLIED CHEMICAL CORP. et al. v. DAIFLON, INC.",NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,1,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980/11/17 00:00:00,1980,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
449 U.S. 383,1980,Burger,UPJOHN CO. et al. v. UNITED STATES et al.,102,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/01/13 00:00:00,1981,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
450 U.S. 333,1980,Burger,ALBERNAZ et al. v. UNITED STATES,102,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,NA,NA,4,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/03/09 00:00:00,1981,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
451 U.S. 259,1980,Burger,"WATT, SECRETARY OF THE INTERIOR, et al. v. ALASKA",101,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,2,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/04/21 00:00:00,1981,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
451 U.S. 355,1980,Burger,BALL et al. v. JAMES et al.,94,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,2,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/04/29 00:00:00,1981,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
451 U.S. 557,1980,Burger,"J. TRUETT PAYNE CO., INC. v. CHRYSLER MOTORS CORP.",102,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,NA,NA,4,1,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/05/18 00:00:00,1981,Yes,Yes,Yes,P,None,Smaller company,Bigger company,p1,None,No,BG coding check? P is technically a winner (CoA reversed)
451 U.S. 630,1980,Burger,"TEXAS INDUSTRIES, INC. v. RADCLIFF MATERIALS, INC., et al.",99,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/05/26 00:00:00,1981,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
451 U.S. 704,1980,Burger,"H. A. ARTISTS & ASSOCIATES, INC., et al. v. ACTORS' EQUITY ASSN. et al.",94,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/05/26 00:00:00,1981,Yes,Yes,Yes,P,None,Individuals,Union,p1,None,Yes,affirmed in part and reversed in part
452 U.S. 378,1980,Burger,NATIONAL GERIMEDICAL HOSPITAL AND GERONTOLOGY CENTER v. BLUE CROSS OF KANSAS CITY et al.,101,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/06/15 00:00:00,1981,Yes,Yes,Yes,P,P,Smaller company,Bigger company,p1,p1,No,NA
452 U.S. 394,1980,Burger,"FEDERATED DEPARTMENT STORES, INC., et al. v. MOITIE et al.",102,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,4,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/06/15 00:00:00,1981,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
452 U.S. 714,1980,Burger,"NEW YORK STATE LIQUOR AUTHORITY v. BELLANCA, DBA THE MAIN EVENT, et al.",NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,1,NA,NA,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/06/22 00:00:00,1981,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
453 U.S. 609,1980,Burger,COMMONWEALTH EDISON CO. et al. v. MONTANA et al.,98,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981/07/02 00:00:00,1981,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
455 U.S. 40,1981,Burger,"COMMUNITY COMMUNICATIONS CO., INC. v. CITY OF BOULDER, COLORADO, et al.",92,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,1,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/01/13 00:00:00,1982,Yes,Yes,Yes,P,None,Company,City government,p1,None,No,NA
455 U.S. 72,1981,Burger,KAISER STEEL CORP. v. MULLINS et al.,95,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/01/13 00:00:00,1982,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
456 U.S. 212,1981,Burger,"INTERNATIONAL LONGSHOREMEN'S ASSOCIATION, AFL-CIO, et al. v. ALLIED INTERNATIONAL, INC.",101,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/04/20 00:00:00,1982,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
456 U.S. 353,1981,Burger,"MERRILL LYNCH, PIERCE, FENNER & SMITH, INC. v. CURRAN et al.",103,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/05/03 00:00:00,1982,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
456 U.S. 556,1981,Burger,"AMERICAN SOCIETY OF MECHANICAL ENGINEERS, INC. v. HYDROLEVEL CORP.",100,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,4,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/05/17 00:00:00,1982,Yes,Yes,Yes,P,P,Professional association,Company,p2,p2,No,P is not the winner because the judgement is completely against them; however is probably coded as the winner because the district court ruled totally against them then CoA reversed in part and the SC affirmed the CoA decision
456 U.S. 717,1981,Burger,"SUMMIT VALLEY INDUSTRIES, INC. v. LOCAL 112, UNITED BROTHERHOOD OF CARPENTERS & JOINERS OF AMERICA",98,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/06/01 00:00:00,1982,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
457 U.S. 332,1981,Burger,ARIZONA v. MARICOPA COUNTY MEDICAL SOCIETY et al.,103,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/06/18 00:00:00,1982,Yes,Yes,Yes,P,P,State government,Professional associations,p1,p1,Yes,NA
457 U.S. 465,1981,Burger,BLUE SHIELD OF VIRGINIA et al. v. MCCREADY,92,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/06/21 00:00:00,1982,Yes,Yes,Yes,P,None,Individual,Company,p2,None,No,P2 is the winner (original plaintiff)
457 U.S. 702,1981,Burger,"JACKSONVILLE BULK TERMINALS, INC., et al. v. INTERNATIONAL LONGSHOREMEN'S ASSOCIATION et al.",98,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,1,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/06/24 00:00:00,1982,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
458 U.S. 119,1981,Burger,UNION LABOR LIFE INSURANCE CO. v. PIRENO,92,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/06/28 00:00:00,1982,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
458 U.S. 654,1981,Burger,"RICE, DIRECTOR, DEPARTMENT OF ALCOHOLIC BEVERAGE CONTROL OF CALIFORNIA v. NORMAN WILLIAMS CO. et al.",102,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,1,1,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/07/01 00:00:00,1982,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
458 U.S. 886,1981,Burger,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE et al. v. CLAIBORNE HARDWARE CO. et al.,103,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/07/02 00:00:00,1982,Yes,Yes,Yes,D,None,NGO,Companies,p1,None,No,P1 is the winner (original defendant)
459 U.S. 116,1982,Burger,"LARKIN et al. v. GRENDEL'S DEN, INC.",99,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982/12/13 00:00:00,1982,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
459 U.S. 248,1982,Burger,PILLSBURY CO. et al. v. CONBOY,101,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,3,1,4,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/01/11 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
459 U.S. 498,1982,Burger,COMMUNITY TELEVISION OF SOUTHERN CALIFORNIA v. GOTTFRIED et al.,103,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983/02/22 00:00:00,1983,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
